"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2014","3,937.2","3,911.2","3,963.3","3,885.1","1.30M","0.00%"
"10/15/2014","3,937.2","3,937.2","3,937.2","3,911.2","1.54M","0.00%"
"10/14/2014","3,937.2","3,911.2","3,963.3","3,911.2","851.00K","0.00%"
"10/13/2014","3,937.2","3,911.2","3,963.3","3,885.1","1.15M","0.00%"
"10/10/2014","3,937.2","3,937.2","3,963.3","3,911.2","2.85M","0.00%"
"10/09/2014","3,937.2","3,963.3","3,963.3","3,911.2","627.59K","0.00%"
"10/08/2014","3,937.2","3,937.2","3,937.2","3,911.2","692.23K","0.00%"
"10/07/2014","3,937.2","3,911.2","3,937.2","3,911.2","405.98K","0.00%"
"10/06/2014","3,937.2","3,963.3","3,963.3","3,937.2","1.82M","0.00%"
"10/03/2014","3,937.2","3,963.3","3,963.3","3,937.2","1.17M","-0.66%"
"10/02/2014","3,963.3","3,963.3","3,989.4","3,937.2","866.15K","0.00%"
"10/01/2014","3,963.3","3,963.3","3,963.3","3,937.2","1.26M","0.00%"
"09/30/2014","3,963.3","3,963.3","3,989.4","3,937.2","293.70K","0.00%"
"09/29/2014","3,963.3","3,963.3","3,989.4","3,937.2","1.08M","0.00%"
"09/26/2014","3,963.3","3,989.4","3,989.4","3,963.3","709.83K","0.00%"
"09/25/2014","3,963.3","3,963.3","3,989.4","3,937.2","1.37M","0.00%"
"09/24/2014","3,963.3","3,963.3","3,963.3","3,937.2","872.01K","0.00%"
"09/23/2014","3,963.3","3,963.3","3,989.4","3,937.2","571.94K","0.00%"
"09/22/2014","3,963.3","3,989.4","3,989.4","3,937.2","2.48M","0.00%"
"09/19/2014","3,963.3","3,963.3","3,989.4","3,963.3","2.23M","0.00%"
"09/18/2014","3,963.3","4,015.5","4,041.5","3,963.3","308.51K","-1.30%"
"09/17/2014","4,015.5","3,989.4","4,041.5","3,963.3","1.09M","0.65%"
"09/16/2014","3,989.4","3,989.4","3,989.4","3,963.3","392.52K","0.66%"
"09/15/2014","3,963.3","3,989.4","3,989.4","3,963.3","357.99K","0.00%"
"09/12/2014","3,963.3","4,015.5","4,015.5","3,963.3","407.67K","-0.65%"
"09/11/2014","3,989.4","3,989.4","4,015.5","3,963.3","256.25K","0.00%"
"09/10/2014","3,989.4","3,963.3","4,015.5","3,963.3","326.51K","0.66%"
"09/09/2014","3,963.3","3,989.4","3,989.4","3,963.3","977.78K","-0.65%"
"09/08/2014","3,989.4","4,015.5","4,041.5","3,963.3","916.15K","-0.65%"
"09/05/2014","4,015.5","4,041.5","4,041.5","3,989.4","373.31K","0.00%"
"09/04/2014","4,015.5","4,015.5","4,015.5","3,963.3","247.19K","0.00%"
"09/03/2014","4,015.5","4,041.5","4,067.6","4,015.5","352.79K","-0.64%"
"08/29/2014","4,041.5","3,989.4","4,041.5","3,989.4","405.43K","1.31%"
"08/28/2014","3,989.4","3,989.4","4,015.5","3,989.4","164.06K","0.00%"
"08/27/2014","3,989.4","4,015.5","4,015.5","3,989.4","400.51K","-0.65%"
"08/26/2014","4,015.5","4,015.5","4,041.5","4,015.5","523.14K","0.00%"
"08/25/2014","4,015.5","3,989.4","4,041.5","3,989.4","502.87K","0.65%"
"08/22/2014","3,989.4","3,989.4","4,015.5","3,963.3","69.96K","0.00%"
"08/21/2014","3,989.4","3,989.4","4,015.5","3,989.4","329.67K","0.00%"
"08/20/2014","3,989.4","3,989.4","4,015.5","3,989.4","252.84K","0.00%"
"08/19/2014","3,989.4","3,989.4","4,015.5","3,963.3","17.27K","-0.65%"
"08/18/2014","4,015.5","3,963.3","4,015.5","3,963.3","302.76K","0.65%"
