"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2023","102,300","102,900","103,000","101,200","304.60K","-0.68%"
"04/07/2023","103,000","102,300","103,000","101,500","183.70K","0.78%"
"04/06/2023","102,200","103,400","103,400","101,500","205.80K","-0.68%"
"04/05/2023","102,900","102,900","102,900","101,000","207.40K","0.88%"
"04/04/2023","102,000","103,000","103,400","102,000","309.70K","-0.58%"
"04/03/2023","102,600","105,100","106,000","102,600","298.70K","-2.38%"
"03/31/2023","105,100","106,300","106,600","104,500","211.30K","-1.13%"
"03/30/2023","106,300","106,100","107,500","104,200","151.20K","0.09%"
"03/29/2023","106,200","106,200","106,400","104,000","180.10K","-0.19%"
"03/28/2023","106,400","105,600","106,700","104,500","176.70K","-0.09%"
"03/27/2023","106,500","106,300","106,500","103,900","184.70K","0.28%"
"03/24/2023","106,200","105,900","106,200","104,600","283.80K","0.47%"
"03/23/2023","105,700","104,500","106,000","102,600","263.40K","0.86%"
"03/22/2023","104,800","104,000","105,300","102,100","309.50K","0.96%"
"03/21/2023","103,800","104,500","112,900","101,600","418.00K","-1.70%"
"03/20/2023","105,600","105,200","107,800","103,100","281.50K","-3.03%"
"03/17/2023","108,900","103,900","108,900","102,000","830.70K","6.76%"
"03/16/2023","102,000","104,900","105,600","99,600","320.60K","-2.76%"
"03/15/2023","104,900","102,800","104,900","102,600","260.60K","3.15%"
"03/14/2023","101,700","99,800","102,500","99,800","219.90K","0.99%"
"03/13/2023","100,700","101,000","102,200","99,100","299.30K","0.10%"
"03/10/2023","100,600","102,800","102,800","98,600","304.90K","-1.18%"
"03/09/2023","101,800","100,400","103,000","100,000","438.40K","3.56%"
"03/08/2023","98,300","97,200","99,000","97,200","122.20K","1.24%"
"03/07/2023","97,100","99,000","101,200","97,100","222.50K","0.83%"
"03/06/2023","96,300","101,100","101,800","96,300","324.60K","-4.84%"
"03/03/2023","101,200","101,700","101,700","98,000","270.60K","-0.39%"
"03/02/2023","101,600","100,000","101,600","98,100","296.00K","0.10%"
"03/01/2023","101,500","99,000","101,500","97,800","194.40K","1.50%"
"02/28/2023","100,000","98,900","100,000","97,000","317.80K","1.52%"
"02/27/2023","98,500","94,000","98,900","94,000","166.10K","2.39%"
"02/24/2023","96,200","98,300","99,700","96,000","600.60K","-2.04%"
"02/23/2023","98,200","102,200","102,200","97,900","590.40K","-2.58%"
"02/22/2023","100,800","102,300","102,400","100,800","382.40K","-1.66%"
"02/21/2023","102,500","102,700","104,000","102,300","298.70K","-0.10%"
"02/20/2023","102,600","102,500","102,800","101,700","229.00K","0.00%"
"02/17/2023","102,600","102,900","102,900","101,200","214.20K","-0.19%"
"02/16/2023","102,800","101,000","102,800","101,000","137.80K","0.10%"
"02/15/2023","102,700","102,800","103,000","101,100","183.90K","-0.10%"
"02/14/2023","102,800","103,100","103,100","101,000","186.10K","-0.29%"
"02/13/2023","103,100","102,000","103,100","101,000","137.80K","1.08%"
"02/10/2023","102,000","102,000","104,000","99,400","151.60K","0.10%"
"02/09/2023","101,900","107,700","109,000","101,900","217.80K","-5.65%"
"02/08/2023","108,000","109,300","109,500","108,000","137.40K","-1.28%"
"02/07/2023","109,400","108,300","109,600","108,000","137.70K","-0.09%"
"02/06/2023","109,500","108,100","110,500","107,500","238.10K","0.37%"
"02/03/2023","109,100","112,100","113,400","109,100","166.10K","-2.59%"
"02/02/2023","112,000","114,500","114,900","112,000","315.70K","-1.67%"
"02/01/2023","113,900","116,000","116,000","111,000","351.50K","-2.06%"
"01/31/2023","116,300","114,400","116,300","112,000","296.10K","2.92%"
"01/30/2023","113,000","117,100","117,100","113,000","337.00K","-2.75%"
"01/27/2023","116,200","114,500","118,000","114,500","230.30K","1.48%"
"01/19/2023","114,500","112,000","115,000","112,000","541.20K","1.96%"
"01/18/2023","112,300","109,100","112,300","109,100","467.60K","1.54%"
"01/17/2023","110,600","109,100","110,600","107,000","467.40K","3.08%"
"01/16/2023","107,300","108,100","110,000","107,300","146.00K","-0.37%"
"01/13/2023","107,700","109,800","110,100","107,700","236.10K","-1.91%"
"01/12/2023","109,800","110,600","110,600","108,500","258.60K","-0.27%"
"01/11/2023","110,100","109,000","110,500","108,900","414.60K","0.92%"
"01/10/2023","109,100","109,200","109,500","108,000","407.80K","-0.09%"
"01/09/2023","109,200","109,300","109,300","108,100","387.40K","1.30%"
"01/06/2023","107,800","110,100","110,200","107,600","367.50K","-2.00%"
"01/05/2023","110,000","110,900","111,000","109,800","388.80K","-0.36%"
"01/04/2023","110,400","112,500","112,500","109,000","195.20K","-1.16%"
"01/03/2023","111,700","109,500","111,700","109,100","395.90K","2.01%"
"12/30/2022","109,500","112,900","112,900","108,500","132.90K","0.27%"
"12/29/2022","109,200","110,600","112,200","108,800","400.00K","-1.18%"
"12/28/2022","110,500","107,800","111,100","106,200","225.60K","2.31%"
"12/27/2022","108,000","111,000","112,900","107,400","249.20K","-0.83%"
"12/26/2022","108,900","111,500","111,500","107,700","151.20K","-2.33%"
"12/23/2022","111,500","111,300","111,800","107,600","258.80K","0.18%"
"12/22/2022","111,300","111,700","112,700","109,100","222.00K","-0.27%"
"12/21/2022","111,600","111,300","112,800","110,500","351.40K","0.27%"
"12/20/2022","111,300","111,000","111,900","109,000","374.80K","0.09%"
"12/19/2022","111,200","112,900","112,900","110,000","322.00K","-1.59%"
"12/16/2022","113,000","111,100","113,000","110,100","575.00K","0.09%"
"12/15/2022","112,900","112,100","112,900","110,500","267.80K","0.62%"
"12/14/2022","112,200","112,100","112,300","109,000","416.80K","0.18%"
"12/13/2022","112,000","111,300","112,000","109,600","481.70K","0.54%"
"12/12/2022","111,400","112,500","113,000","109,600","465.80K","-0.09%"
"12/09/2022","111,500","107,000","114,400","105,300","491.70K","4.21%"
"12/08/2022","107,000","105,900","107,700","104,500","658.00K","0.94%"
"12/07/2022","106,000","105,000","106,200","103,200","461.60K","0.00%"
"12/06/2022","106,000","106,800","107,700","105,500","682.60K","-0.84%"
"12/05/2022","106,900","106,500","108,300","106,500","681.20K","0.38%"
"12/02/2022","106,500","103,000","106,500","102,900","768.70K","3.20%"
"12/01/2022","103,200","101,500","103,300","100,100","745.10K","0.19%"
"11/30/2022","103,000","103,000","103,100","98,500","590.00K","0.19%"
"11/29/2022","102,800","99,300","102,900","99,300","530.20K","0.59%"
"11/28/2022","102,200","102,000","102,600","101,100","220.40K","0.20%"
"11/25/2022","102,000","101,700","102,000","101,200","277.60K","0.79%"
"11/24/2022","101,200","100,300","101,200","99,000","303.30K","0.80%"
"11/23/2022","100,400","98,100","101,100","96,700","113.30K","2.34%"
"11/22/2022","98,100","98,900","102,300","98,000","331.80K","-2.49%"
"11/21/2022","100,600","102,200","102,200","98,100","109.60K","-1.57%"
"11/18/2022","102,200","102,100","102,400","100,700","317.80K","0.10%"
"11/17/2022","102,100","102,400","102,600","101,000","333.50K","0.20%"
"11/16/2022","101,900","101,700","108,900","100,100","396.90K","0.10%"
"11/15/2022","101,800","101,400","102,000","99,800","324.90K","-0.10%"
"11/14/2022","101,900","101,300","102,000","98,000","376.20K","0.59%"
"11/11/2022","101,300","97,600","101,700","97,600","157.10K","1.30%"
"11/10/2022","100,000","100,600","101,700","99,400","218.20K","-0.60%"
"11/09/2022","100,600","100,600","102,000","97,000","210.40K","0.20%"
"11/08/2022","100,400","100,900","102,700","99,500","284.90K","0.20%"
"11/07/2022","100,200","96,500","102,000","96,500","230.00K","0.10%"
"11/04/2022","100,100","100,100","102,600","96,100","236.20K","-2.53%"
"11/03/2022","102,700","98,000","104,500","98,000","167.30K","-2.19%"
"11/02/2022","105,000","106,800","106,800","100,100","289.60K","-1.22%"
"11/01/2022","106,300","107,700","108,000","106,200","111.30K","-1.21%"
"10/31/2022","107,600","107,500","108,000","105,500","154.70K","-0.19%"
"10/28/2022","107,800","108,800","108,800","106,000","136.80K","-0.19%"
"10/27/2022","108,000","107,500","108,400","106,200","114.40K","0.47%"
"10/26/2022","107,500","108,000","108,800","106,000","129.50K","-0.46%"
"10/25/2022","108,000","107,000","108,000","106,000","179.00K","0.93%"
"10/24/2022","107,000","108,900","108,900","105,500","207.80K","-1.74%"
"10/21/2022","108,900","109,000","109,300","106,500","206.80K","0.00%"
"10/20/2022","108,900","109,400","110,000","108,300","221.80K","-0.18%"
"10/19/2022","109,100","109,000","109,400","108,100","170.60K","0.00%"
"10/18/2022","109,100","108,000","110,000","107,400","306.80K","0.09%"
"10/17/2022","109,000","108,800","109,000","106,500","238.40K","0.00%"
"10/14/2022","109,000","108,600","109,000","107,000","345.50K","0.28%"
"10/13/2022","108,700","109,900","109,900","105,200","322.00K","0.00%"
"10/12/2022","108,700","107,000","108,900","105,100","418.70K","1.59%"
"10/11/2022","107,000","111,800","111,800","106,100","618.20K","-2.73%"
"10/10/2022","110,000","114,700","114,700","110,000","538.60K","-4.35%"
"10/07/2022","115,000","114,000","115,000","113,600","824.50K","0.70%"
"10/06/2022","114,200","114,300","115,000","113,000","309.60K","-0.70%"
"10/05/2022","115,000","113,900","116,800","113,600","637.60K","1.86%"
"10/04/2022","112,900","110,000","112,900","109,900","350.60K","2.64%"
"10/03/2022","110,000","110,000","111,000","109,000","285.90K","-0.81%"
"09/30/2022","110,900","110,000","113,000","109,900","409.90K","0.73%"
"09/29/2022","110,100","110,200","111,100","109,900","245.70K","0.00%"
"09/28/2022","110,100","110,500","110,500","109,000","409.90K","-0.36%"
"09/27/2022","110,500","110,200","110,700","110,000","280.60K","0.36%"
"09/26/2022","110,100","111,900","111,900","110,100","504.10K","-2.39%"
"09/23/2022","112,800","114,000","114,400","112,800","375.40K","-1.91%"
"09/22/2022","115,000","114,100","115,000","112,700","547.60K","0.00%"
"09/21/2022","115,000","114,700","116,000","114,200","353.90K","-0.95%"
"09/20/2022","116,100","114,600","116,100","114,600","324.50K","0.96%"
"09/19/2022","115,000","116,100","116,100","114,500","330.50K","-0.61%"
"09/16/2022","115,700","116,000","116,000","115,000","2.15M","-0.26%"
"09/15/2022","116,000","116,000","116,500","115,000","678.50K","-0.17%"
"09/14/2022","116,200","115,300","116,500","115,300","480.20K","-1.02%"
"09/13/2022","117,400","118,000","118,000","117,000","475.00K","-0.09%"
"09/12/2022","117,500","118,000","118,000","116,300","394.40K","-0.42%"
"09/09/2022","118,000","115,000","118,100","115,000","381.00K","2.61%"
"09/08/2022","115,000","113,900","115,000","113,800","560.10K","0.97%"
"09/07/2022","113,900","119,200","119,200","113,900","940.30K","-4.85%"
"09/06/2022","119,700","120,000","120,000","118,100","513.00K","-0.25%"
"09/05/2022","120,000","121,500","121,500","119,500","554.60K","-1.32%"
"08/31/2022","121,600","121,000","121,900","120,500","526.40K","-0.65%"
"08/30/2022","122,400","122,000","122,500","120,100","261.10K","0.33%"
"08/29/2022","122,000","122,800","122,800","119,500","445.40K","-0.81%"
"08/26/2022","123,000","123,700","123,700","121,800","662.50K","-0.32%"
"08/25/2022","123,400","123,500","123,500","123,000","370.70K","-0.08%"
"08/24/2022","123,500","123,000","123,700","123,000","508.00K","0.00%"
"08/23/2022","123,500","123,200","123,700","122,600","613.90K","-0.32%"
"08/22/2022","123,900","123,500","124,000","123,200","259.10K","-0.08%"
"08/19/2022","124,000","123,900","124,000","123,200","555.00K","0.00%"
"08/18/2022","124,000","123,900","124,100","123,300","1.04M","0.40%"
"08/17/2022","123,500","123,400","124,100","123,300","769.80K","0.08%"
"08/16/2022","123,400","124,200","124,300","123,300","676.90K","-0.80%"
"08/15/2022","124,400","124,300","125,300","124,200","668.20K","0.08%"
"08/12/2022","124,300","124,800","125,200","124,000","660.30K","-0.72%"
"08/11/2022","125,200","126,000","126,000","125,200","700.20K","-0.16%"
"08/10/2022","125,400","126,000","126,000","125,100","762.00K","-0.79%"
"08/09/2022","126,400","125,000","126,400","124,800","664.80K","0.96%"
"08/08/2022","125,200","126,500","126,900","125,000","387.90K","-1.03%"
"08/05/2022","126,500","129,200","129,200","126,400","797.80K","-2.09%"
"08/04/2022","129,200","127,100","129,200","126,100","741.30K","1.73%"
"08/03/2022","127,000","126,800","127,500","125,800","412.50K","-0.39%"
"08/02/2022","127,500","125,800","127,900","125,700","360.70K","0.31%"
"08/01/2022","127,100","126,000","127,100","125,700","438.80K","1.11%"
"07/29/2022","125,700","127,400","127,400","125,500","490.80K","-1.33%"
"07/28/2022","127,400","125,800","127,400","125,000","556.70K","1.68%"
"07/27/2022","125,300","125,000","125,300","124,600","439.20K","0.16%"
"07/26/2022","125,100","125,700","125,900","125,000","427.70K","-0.56%"
"07/25/2022","125,800","125,300","125,800","124,500","581.50K","0.16%"
"07/22/2022","125,600","126,300","126,300","124,500","492.30K","-0.32%"
"07/21/2022","126,000","125,600","126,900","125,100","476.50K","0.40%"
"07/20/2022","125,500","124,500","125,500","124,000","492.10K","0.80%"
"07/19/2022","124,500","124,300","124,500","123,000","365.50K","0.24%"
"07/18/2022","124,200","124,800","124,800","123,900","398.50K","-0.40%"
"07/15/2022","124,700","126,800","126,800","124,400","347.40K","-1.58%"
"07/14/2022","126,700","124,700","127,200","124,000","529.10K","1.52%"
"07/13/2022","124,800","125,500","126,100","124,800","472.50K","-0.56%"
"07/12/2022","125,500","127,400","127,500","125,300","644.40K","-1.49%"
"07/11/2022","127,400","127,000","127,800","126,000","509.50K","-0.31%"
"07/08/2022","127,800","129,300","129,300","127,000","450.20K","-1.16%"
"07/07/2022","129,300","126,800","129,300","126,600","613.00K","1.73%"
"07/06/2022","127,100","125,800","127,100","124,500","632.80K","0.95%"
"07/05/2022","125,900","129,500","129,500","125,900","518.10K","-2.85%"
"07/04/2022","129,600","130,000","130,100","129,200","585.20K","-0.38%"
"07/01/2022","130,100","129,000","130,100","127,300","517.70K","0.08%"
"06/30/2022","130,000","131,800","132,400","129,200","561.30K","-1.74%"
"06/29/2022","132,300","132,900","132,900","131,000","540.90K","-0.53%"
"06/28/2022","133,000","133,000","133,200","131,500","629.90K","0.00%"
"06/27/2022","133,000","129,000","133,000","128,300","964.00K","3.66%"
"06/24/2022","128,300","128,300","129,000","126,500","621.00K","0.08%"
