Date,Price,Open,High,Low,Vol.,Change %
01/20/2015,"77,500.00","77,000.00","78,000.00","76,500.00",456.86K,1.31%
01/19/2015,"76,500.00","77,500.00","78,500.00","76,000.00",258.66K,-1.29%
01/16/2015,"77,500.00","78,000.00","79,000.00","77,000.00",334.23K,-1.27%
01/15/2015,"78,500.00","78,000.00","79,000.00","77,000.00",403.10K,1.29%
01/14/2015,"77,500.00","79,000.00","79,500.00","76,500.00",705.28K,-3.73%
01/13/2015,"80,500.00","78,000.00","82,000.00","78,000.00",1.27M,1.90%
01/12/2015,"79,000.00","79,000.00","79,000.00","79,000.00",671.21K,6.76%
01/09/2015,"74,000.00","70,000.00","74,000.00","70,000.00",859.62K,6.47%
01/08/2015,"69,500.00","70,000.00","70,500.00","69,500.00",290.22K,0.72%
01/07/2015,"69,000.00","67,000.00","69,500.00","67,000.00",509.25K,1.47%
01/06/2015,"68,000.00","67,000.00","68,500.00","67,000.00",345.05K,-1.45%
01/05/2015,"69,000.00","70,000.00","70,500.00","68,500.00",319.84K,-2.13%
12/31/2014,"70,500.00","70,000.00","71,000.00","69,500.00",216.92K,0.71%
12/30/2014,"70,000.00","69,000.00","70,000.00","67,500.00",235.54K,0.00%
12/29/2014,"70,000.00","70,500.00","71,500.00","68,500.00",138.31K,-0.71%
12/26/2014,"70,500.00","68,000.00","72,000.00","68,000.00",511.40K,3.68%
12/25/2014,"68,000.00","70,000.00","70,500.00","68,000.00",298.94K,-4.23%
12/24/2014,"71,000.00","71,500.00","71,500.00","70,000.00",201.71K,1.43%
12/23/2014,"70,000.00","70,000.00","72,000.00","69,000.00",534.70K,-2.78%
12/22/2014,"72,000.00","68,500.00","72,500.00","68,500.00",861.03K,5.88%
12/19/2014,"68,000.00","66,500.00","69,000.00","65,500.00",886.77K,3.03%
12/18/2014,"66,000.00","64,000.00","66,000.00","63,500.00",569.06K,6.45%
12/17/2014,"62,000.00","65,000.00","65,500.00","60,000.00",944.14K,-3.88%
12/16/2014,"64,500.00","67,500.00","68,000.00","64,500.00",1.36M,-6.52%
12/15/2014,"69,000.00","69,500.00","71,000.00","69,000.00",495.49K,-2.82%
12/12/2014,"71,000.00","69,000.00","72,000.00","69,000.00",657.09K,0.00%
12/11/2014,"71,000.00","70,500.00","73,500.00","70,500.00",749.11K,-4.05%
12/10/2014,"74,000.00","71,000.00","75,500.00","70,500.00",1.49M,-1.99%
12/09/2014,"75,500.00","78,000.00","78,500.00","75,500.00",1.18M,-6.79%
12/08/2014,"81,000.00","86,000.00","86,000.00","81,000.00",873.51K,-6.36%
12/05/2014,"86,500.00","87,000.00","88,000.00","86,500.00",343.13K,-1.14%
12/04/2014,"87,500.00","88,000.00","89,500.00","87,500.00",568.11K,0.00%
12/03/2014,"87,500.00","86,500.00","88,000.00","86,500.00",310.01K,1.74%
12/02/2014,"86,000.00","87,000.00","87,000.00","85,500.00",392.08K,1.18%
12/01/2014,"85,000.00","84,500.00","87,000.00","84,000.00",980.19K,-1.16%
11/28/2014,"86,000.00","89,000.00","89,500.00","85,000.00",1.15M,-5.49%
11/27/2014,"91,000.00","94,000.00","94,000.00","89,500.00",768.63K,-3.19%
11/26/2014,"94,000.00","99,500.00","99,500.00","93,000.00",923.58K,-4.57%
11/25/2014,"98,500.00","99,000.00","101,000.00","98,500.00",274.56K,-0.51%
11/24/2014,"99,000.00","99,000.00","99,500.00","97,500.00",289.97K,-0.50%
11/21/2014,"99,500.00","103,000.00","103,000.00","99,500.00",368.98K,-2.45%
11/20/2014,"102,000.00","102,000.00","103,000.00","101,000.00",262.89K,0.99%
11/19/2014,"101,000.00","103,000.00","104,000.00","101,000.00",476.19K,-1.94%
11/18/2014,"103,000.00","104,000.00","105,000.00","103,000.00",148.51K,-0.96%
11/17/2014,"104,000.00","105,000.00","106,000.00","104,000.00",161.09K,0.00%
11/14/2014,"104,000.00","105,000.00","106,000.00","104,000.00",284.12K,-1.89%
11/13/2014,"106,000.00","106,000.00","107,000.00","105,000.00",290.90K,0.00%
11/12/2014,"106,000.00","107,000.00","107,000.00","105,000.00",282.28K,-0.93%
11/11/2014,"107,000.00","105,000.00","109,000.00","104,000.00",731.61K,2.88%
11/10/2014,"104,000.00","105,000.00","106,000.00","104,000.00",333.02K,-0.95%
11/07/2014,"105,000.00","104,000.00","105,000.00","103,000.00",138.31K,0.96%
11/06/2014,"104,000.00","105,000.00","105,000.00","104,000.00",227.15K,0.00%
11/05/2014,"104,000.00","105,000.00","106,000.00","103,000.00",160.91K,0.00%
11/04/2014,"104,000.00","105,000.00","106,000.00","104,000.00",213.66K,-0.95%
11/03/2014,"105,000.00","106,000.00","107,000.00","105,000.00",246.17K,-0.94%
10/31/2014,"106,000.00","105,000.00","106,000.00","103,000.00",437.85K,1.92%
10/30/2014,"104,000.00","106,000.00","107,000.00","104,000.00",241.09K,-1.89%
10/29/2014,"106,000.00","105,000.00","107,000.00","105,000.00",138.43K,1.92%
10/28/2014,"104,000.00","103,000.00","104,000.00","102,000.00",179.01K,0.00%
10/27/2014,"104,000.00","104,000.00","105,000.00","102,000.00",262.96K,0.00%
10/24/2014,"104,000.00","105,000.00","107,000.00","103,000.00",362.55K,-0.95%
10/23/2014,"105,000.00","107,000.00","108,000.00","105,000.00",346.85K,-2.78%
10/22/2014,"108,000.00","108,000.00","109,000.00","107,000.00",243.57K,-0.92%
10/21/2014,"109,000.00","103,000.00","109,000.00","102,000.00",831.91K,6.86%
10/20/2014,"102,000.00","102,000.00","104,000.00","102,000.00",316.67K,2.00%
10/17/2014,"100,000.00","102,000.00","105,000.00","99,500.00",1.20M,-2.91%
10/16/2014,"103,000.00","108,000.00","108,000.00","101,000.00",1.10M,-4.63%
10/15/2014,"108,000.00","108,000.00","110,000.00","105,000.00",494.96K,-0.92%
10/14/2014,"109,000.00","111,000.00","112,000.00","109,000.00",238.80K,-1.80%
10/13/2014,"111,000.00","112,000.00","113,000.00","108,000.00",707.08K,-1.77%
10/10/2014,"113,000.00","116,000.00","119,000.00","113,000.00",426.34K,-2.59%
10/09/2014,"116,000.00","111,000.00","116,000.00","111,000.00",1.05M,6.42%
10/08/2014,"109,000.00","108,000.00","109,000.00","107,000.00",346.96K,1.87%
10/07/2014,"107,000.00","106,000.00","109,000.00","106,000.00",260.79K,0.94%
10/06/2014,"106,000.00","106,000.00","108,000.00","106,000.00",268.30K,0.00%
10/03/2014,"106,000.00","109,000.00","109,000.00","106,000.00",317.02K,-1.85%
10/02/2014,"108,000.00","110,000.00","111,000.00","108,000.00",523.82K,-0.92%
10/01/2014,"109,000.00","107,000.00","110,000.00","107,000.00",561.92K,2.83%
09/30/2014,"106,000.00","106,000.00","107,000.00","104,000.00",473.98K,-0.93%
09/29/2014,"107,000.00","108,000.00","109,000.00","107,000.00",260.55K,-0.93%
09/26/2014,"108,000.00","108,000.00","109,000.00","107,000.00",422.41K,0.93%
09/25/2014,"107,000.00","105,000.00","107,000.00","103,000.00",834.24K,1.90%
09/24/2014,"105,000.00","109,000.00","110,000.00","105,000.00",899.11K,-3.67%
09/23/2014,"109,000.00","112,000.00","113,000.00","109,000.00",379.77K,-3.54%
09/22/2014,"113,000.00","115,000.00","116,000.00","113,000.00",175.78K,-1.74%
09/19/2014,"115,000.00","115,000.00","116,000.00","113,000.00",389.58K,0.88%
09/18/2014,"114,000.00","119,000.00","120,000.00","114,000.00",464.47K,-4.20%
09/17/2014,"119,000.00","120,000.00","122,000.00","119,000.00",288.04K,-0.83%
09/16/2014,"120,000.00","120,000.00","122,000.00","120,000.00",293.90K,-0.83%
09/15/2014,"121,000.00","121,000.00","124,000.00","121,000.00",290.25K,0.00%
09/12/2014,"121,000.00","121,000.00","122,000.00","120,000.00",147.19K,0.00%
09/11/2014,"121,000.00","121,000.00","124,000.00","120,000.00",214.43K,0.00%
09/10/2014,"121,000.00","120,000.00","121,000.00","118,000.00",116.60K,0.83%
09/09/2014,"120,000.00","123,000.00","124,000.00","119,000.00",353.17K,-2.44%
09/08/2014,"123,000.00","124,000.00","124,000.00","122,000.00",227.34K,0.00%
09/05/2014,"123,000.00","125,000.00","125,000.00","123,000.00",232.45K,-1.60%
09/04/2014,"125,000.00","125,000.00","126,000.00","124,000.00",266.79K,0.00%
09/03/2014,"125,000.00","125,000.00","126,000.00","124,000.00",326.56K,0.81%
08/29/2014,"124,000.00","127,000.00","128,000.00","124,000.00",459.86K,-1.59%
08/28/2014,"126,000.00","122,000.00","128,000.00","122,000.00",427.92K,2.44%
08/27/2014,"123,000.00","123,000.00","124,000.00","121,000.00",223.36K,0.00%
08/26/2014,"123,000.00","123,000.00","124,000.00","121,000.00",410.94K,-0.81%
08/25/2014,"124,000.00","122,000.00","126,000.00","122,000.00",422.06K,1.64%
08/22/2014,"122,000.00","119,000.00","123,000.00","119,000.00",619.58K,3.39%
08/21/2014,"118,000.00","117,000.00","120,000.00","117,000.00",1.01M,1.72%
08/20/2014,"116,000.00","116,000.00","116,000.00","114,000.00",283.43K,0.87%
08/19/2014,"115,000.00","115,000.00","117,000.00","114,000.00",450.67K,0.88%
08/18/2014,"114,000.00","114,000.00","115,000.00","113,000.00",334.37K,0.00%
08/15/2014,"114,000.00","114,000.00","115,000.00","113,000.00",166.17K,0.88%
08/14/2014,"113,000.00","114,000.00","115,000.00","113,000.00",216.71K,0.00%
08/13/2014,"113,000.00","114,000.00","115,000.00","113,000.00",459.47K,-1.74%
08/12/2014,"115,000.00","115,000.00","116,000.00","114,000.00",227.26K,-0.86%
08/11/2014,"116,000.00","115,000.00","117,000.00","114,000.00",120.98K,0.00%
08/08/2014,"116,000.00","117,000.00","118,000.00","116,000.00",452.32K,0.00%
08/07/2014,"116,000.00","115,000.00","117,000.00","115,000.00",224.47K,0.00%
