"Date","Price","Open","High","Low","Vol.","Change %"
"03/07/2016","11,000.0","11,000.0","11,000.0","10,900.0","420.86K","0.00%"
"03/04/2016","11,000.0","11,000.0","11,100.0","10,900.0","423.30K","0.00%"
"03/03/2016","11,000.0","11,200.0","11,200.0","11,000.0","226.03K","-0.90%"
"03/02/2016","11,100.0","11,000.0","11,100.0","10,900.0","425.70K","1.83%"
"03/01/2016","10,900.0","11,000.0","11,100.0","10,900.0","398.35K","-0.91%"
"02/29/2016","11,000.0","11,200.0","11,200.0","11,000.0","469.13K","-1.79%"
"02/26/2016","11,200.0","11,100.0","11,200.0","11,000.0","278.10K","0.90%"
"02/25/2016","11,100.0","11,300.0","11,400.0","11,000.0","540.62K","-0.89%"
"02/24/2016","11,200.0","10,800.0","11,400.0","10,800.0","1.36M","2.75%"
"02/23/2016","10,900.0","10,900.0","11,000.0","10,800.0","554.12K","0.93%"
"02/22/2016","10,800.0","10,900.0","11,000.0","10,800.0","876.22K","-1.82%"
"02/19/2016","11,000.0","10,800.0","11,100.0","10,800.0","781.90K","0.00%"
"02/18/2016","11,000.0","10,600.0","11,100.0","10,600.0","697.25K","3.77%"
"02/17/2016","10,600.0","10,900.0","10,900.0","10,600.0","1.64M","-2.75%"
"02/16/2016","10,900.0","10,900.0","11,000.0","10,900.0","716.69K","-0.91%"
"02/15/2016","11,000.0","11,000.0","11,200.0","10,800.0","582.47K","-1.79%"
"02/05/2016","11,200.0","11,200.0","11,200.0","11,100.0","333.12K","0.00%"
"02/04/2016","11,200.0","11,100.0","11,200.0","11,000.0","274.83K","0.90%"
"02/03/2016","11,100.0","11,100.0","11,100.0","10,900.0","362.66K","0.00%"
"02/02/2016","11,100.0","11,200.0","11,300.0","11,100.0","153.23K","-0.89%"
"02/01/2016","11,200.0","11,300.0","11,400.0","11,200.0","323.24K","-0.88%"
"01/29/2016","11,300.0","11,300.0","11,500.0","11,200.0","468.47K","0.00%"
"01/28/2016","11,300.0","11,200.0","11,700.0","11,200.0","201.13K","0.89%"
"01/27/2016","11,200.0","11,300.0","11,500.0","11,200.0","300.19K","0.90%"
"01/26/2016","11,100.0","11,300.0","11,400.0","11,100.0","433.64K","-4.31%"
"01/25/2016","11,600.0","10,900.0","11,600.0","10,900.0","494.38K","6.42%"
"01/22/2016","10,900.0","10,800.0","10,900.0","10,600.0","382.12K","2.83%"
